村志代码 Gazetteer Code,村志书名 Gazetteer Title,海拔 (米) Altitude,平均降水量单位 Average Yearly Precipitation Unit,平均降水量 Average Yearly Precipitation Amount,平均温度单位 Average Yearly Temperature Unit,平均温度 Average Yearly Temperature
1,太平店村志,n/a,毫米 millimeter,700,°C,14
3,马鞭田村志,1225,毫米 millimeter,1279.8,°C,15
4,万秀村志,n/a,毫米 millimeter,1310,°C,21.6
5,光淀村志,n/a,毫米 millimeter,529.7,°C,12.2
6,方等村志,61,没有相关数据 No Available Data,n/a,°C,12.7
7,渔津洼村志,n/a,毫米 millimeter,543.6,°C,11.5
8,板板桥村志,1600,毫米 millimeter,2963,°C,15.7
9,仓上村志,n/a,毫米 millimeter,534.7,°C,13
10,草场地村志,n/a,毫米 millimeter,600,没有相关数据 No Available Data,n/a
11,桥梓村志,n/a,毫米 millimeter,1790,°C,22
12,东侯坊村志,n/a,毫米 millimeter,480,没有相关数据 No Available Data,n/a
13,黄土岗村志,n/a,毫米 millimeter,210.7,°C,13.7
14,桑耳庄村志,n/a,毫米 millimeter,500,°C,12
16,上梅林村志,n/a,毫米 millimeter,1948.4,°C,22.4
17,单家村村志,34.3,毫米 millimeter,644.2,°C,11.4
18,生产村志,n/a,毫米 millimeter,865.4,°C,11.6
19,树园村志,n/a,毫米 millimeter,1171.7,没有相关数据 No Available Data,n/a
20,西黄村村志,n/a,毫米 millimeter,569.4,没有相关数据 No Available Data,n/a
21,张坊村志,n/a,毫米 millimeter,650,没有相关数据 No Available Data,n/a
22,张家圩子村志,n/a,毫米 millimeter,710,°C,13.2
23,凤池村志,128,毫米 millimeter,1660,°C,19.3
24,楼村志,n/a,毫米 millimeter,1926.7,°C,22
26,孟莲村志,n/a,毫米 millimeter,1217.9,°C,21.8
29,刘国忠村志,n/a,毫米 millimeter,400,没有相关数据 No Available Data,n/a
30,管元村志,1350,毫米 millimeter,1365,°C,14
31,南凤山村志,n/a,毫米 millimeter,571.5,°C,13.2
32,井亭村志,n/a,毫米 millimeter,1114.7,°C,15.5
34,胡家村志,n/a,毫米 millimeter,570.4,°C,5.7
35,洪塘头村志,n/a,毫米 millimeter,1411,°C,21
36,周家巷村志,n/a,毫米 millimeter,1000,°C,15.5
37,联盟村志,n/a,毫米 millimeter,679.1,°C,13.45
40,金家坪村志,n/a,毫米 millimeter,1348.3,°C,16.7
41,博潭村志,33,毫米 millimeter,1750,°C,23.5
42,新桥村志,n/a,没有相关数据 No Available Data,n/a,°C,16
44,大吕庄村志,53,毫米 millimeter,634.3,°C,13.7
45,定安村志,1357,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
47,冯桥村志,n/a,没有相关数据 No Available Data,n/a,°C,16.18
48,小瓦窑村志,88.5,没有相关数据 No Available Data,n/a,°C,11.8
49,富强村志,20,毫米 millimeter,1434.2,°C,16.4
52,郭家沟村,n/a,毫米 millimeter,685.7,°C,10.25
53,牟家村志,4.5,毫米 millimeter,1000,°C,15.9
54,西官庄村志,n/a,毫米 millimeter,588.6,°C,13.5
56,沐陂村志,n/a,毫米 millimeter,1630,°C,13.5
58,袁家沟村志,n/a,毫米 millimeter,592.8,°C,10
59,云水村志,n/a,毫米 millimeter,646.6,°C,15.6
61,西高庄村志,n/a,毫米 millimeter,550,°C,12
62,新华村志,22,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
63,盘山村志,680,毫米 millimeter,500,°C,12
64,三路居村志,43,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
67,西洞头村志,n/a,毫米 millimeter,503.6,°C,13
69,五一村志,375,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
70,乌玉村志,n/a,毫米 millimeter,500,°C,9
71,前夹山村志,n/a,毫米 millimeter,568.2,°C,10.7
72,浦联村志,n/a,没有相关数据 No Available Data,n/a,°C,16
74,上东廓村志,n/a,毫米 millimeter,550.3,°C,11.8
75,琴湖村志,n/a,毫米 millimeter,1083.4,没有相关数据 No Available Data,n/a
76,沁水营村志,20.9,毫米 millimeter,559.6,°C,11.6
77,三洋村志,n/a,毫米 millimeter,566.3,°C,10.2
78,三八里村志,n/a,毫米 millimeter,552.4,°C,10.3
80,新店村志,n/a,毫米 millimeter,584.9,没有相关数据 No Available Data,n/a
82,北良侯村志,n/a,没有相关数据 No Available Data,n/a,°C,8.1
83,柏沟村志,n/a,毫米 millimeter,659.7,°C,11
84,三力村志,n/a,没有相关数据 No Available Data,n/a,°C,20.1
85,马鼻方志,n/a,毫米 millimeter,1600,°C,21.4
87,坦头村志,n/a,毫米 millimeter,1530,没有相关数据 No Available Data,n/a
88,传字营村志,3.5,毫米 millimeter,551.7,°C,11.9°
91,福保村志,1887,毫米 millimeter,1006.5,°C,14.67
92,上南村志,n/a,毫米 millimeter,1500,没有相关数据 No Available Data,n/a
93,霍庄子村志,n/a,毫米 millimeter,490.02,°C,11.1
94,长畛村志,n/a,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
95,大河村志,n/a,毫米 millimeter,1156,°C,17
96,大蒋庄村志,n/a,毫米 millimeter,584.6,°C,11.6
97,插旗山村志,n/a,毫米 millimeter,1100,°C,16.6
98,福德村志,1894,毫米 millimeter,1170,°C,21
99,银桥村村志,2040,没有相关数据 No Available Data,n/a,°C,15
100,崖堡村志,1748,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
113,东古城村志,1757,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
115,荷湖村志,n/a,毫米 millimeter,1434.2,°C,16.4
116,青峰村志,n/a,毫米 millimeter,856.7,°C,16.5
117,正蓝前二村志,117.8,毫米 millimeter,490,没有相关数据 No Available Data,n/a
119,三堰埫村志,650,毫米 millimeter,1200,°C,16.5
121,马村志,n/a,毫米 millimeter,1417.8,没有相关数据 No Available Data,n/a
123,小三家子村志,n/a,毫米 millimeter,532,°C,-0.4
124,复兴村志,2200,毫米 millimeter,280,°C,5.9
125,长见村志,n/a,毫米 millimeter,1391,°C,16.8
126,文大村志,n/a,毫米 millimeter,1417.8,°C,23.5
127,浪营村志,n/a,没有相关数据 No Available Data,n/a,°C,5.7
128,白沙村志,n/a,毫米 millimeter,1890,°C,16.2
129,高庙村志,1940,毫米 millimeter,335.4,°C,7.5
130,起台堡村志,2920,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
134,梁堡村志,n/a,毫米 millimeter,520,°C,5.6
135,苏波盖村志,n/a,毫米 millimeter,399.8,°C,6.9
136,丹村志,n/a,没有相关数据 No Available Data,n/a,°C,25
137,菖蒲塘村志,n/a,毫米 millimeter,1308.1,°C,15.9
138,东颜村志,680,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
139,魁胆村志(送审稿),n/a,毫米 millimeter,1200,°C,15
140,隆里所村志,450,毫米 millimeter,1200,°C,17
141,大三家村志,n/a,毫米 millimeter,359,°C,7
142,纳家户村志,1122,毫米 millimeter,202.4,°C,8.6
144,上庄村志,n/a,没有相关数据 No Available Data,n/a,°C,16
145,宝狮村志,n/a,毫米 millimeter,884.6,°C,15.9
146,凤凰庙村志,545,毫米 millimeter,400,°C,22
148,西厂圪洞村志,1063,毫米 millimeter,350,°C,6
149,严小村村志,n/a,毫米 millimeter,345,没有相关数据 No Available Data,n/a
150,宝才村志,n/a,毫米 millimeter,1100,°C,14
151,宜安村志,n/a,毫米 millimeter,570,°C,12.8
152,传桂村志,15,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
153,叶坪村志,n/a,毫米 millimeter,1378.4,°C,18.9
154,马路村志,n/a,毫米 millimeter,878.6,°C,15.2
156,百花村志,n/a,毫米 millimeter,1346,没有相关数据 No Available Data,n/a
157,上桥村志,n/a,毫米 millimeter,1083,°C,18.1
158,茅草村志,n/a,毫米 millimeter,1282.8,°C,17
159,北山门口村志,491,毫米 millimeter,584.8,°C,13.3
160,逯家寨志,2200,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
161,鸡鸣村志,420,毫米 millimeter,1093.3,°C,16.4
162,丁达村志,n/a,毫米 millimeter,1350,°C,16
164,八卦营村志,n/a,毫米 millimeter,400,°C,1
166,赤土村志,4,毫米 millimeter,600,°C,12
169,永庆村志,n/a,毫米 millimeter,670,没有相关数据 No Available Data,n/a
170,鲍家寨村志,2340,毫米 millimeter,345,没有相关数据 No Available Data,n/a
171,青林寺村志,n/a,毫米 millimeter,1350,°C,16.8
172,定平村志,1334.5,毫米 millimeter,103.2,°C,7.8
173,果山村志,n/a,毫米 millimeter,1100,°C,17.8
174,蔡宅村志,n/a,毫米 millimeter,1580,°C,18
176,汪家塬村志,1763,毫米 millimeter,349.3,°C,6.7
177,船房村志,1890,毫米 millimeter,1125,°C,20
178,双街村志,5,毫米 millimeter,558,°C,12.2
180,红城村志,418,毫米 millimeter,510,°C,3.5
185,镇海村志,n/a,毫米 millimeter,300,°C,23
186,白岩洞村志,n/a,毫米 millimeter,1440,°C,15.8
187,百泉村志,n/a,毫米 millimeter,610.9,°C,14
189,苑口村志,n/a,毫米 millimeter,500,°C,11.5
190,范家店村志,n/a,毫米 millimeter,641.7,°C,10.7
191,塘尾村志,n/a,毫米 millimeter,1700,°C,22
193,唐美村志,n/a,毫米 millimeter,2000,°C,22
195,珂里庄志,2096,毫米 millimeter,1540.5,°C,15
196,吉镇村志,n/a,毫米 millimeter,486,°C,9.7
197,贤友村志,n/a,毫米 millimeter,648.9,没有相关数据 No Available Data,n/a
198,徐家河村志,n/a,毫米 millimeter,456.6,°C,9.2
199,勤丰村志,2.42,毫米 millimeter,1047,°C,15.5
200,观音庙村史,500,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
201,永联村志,n/a,毫米 millimeter,1088.6,°C,15.8
203,石马峪村志,n/a,毫米 millimeter,606.4,°C,11.8
204,者湾村志,n/a,毫米 millimeter,850,°C,15.6
205,黄土村志,n/a,毫米 millimeter,1357,°C,17.2
206,上关村志,n/a,毫米 millimeter,900,°C,15
207,兴堰村志,n/a,毫米 millimeter,918.7,°C,16°
208,人民塘村志,n/a,毫米 millimeter,759,°C,15.6
209,海东村志,1887,毫米 millimeter,797,°C,20
210,三街村志,1732,毫米 millimeter,879.1,°C,15
211,山邑村志,1840,毫米 millimeter,1200,没有相关数据 No Available Data,n/a
212,石坝村志,550,毫米 millimeter,865.9,°C,16
213,群安村志,510.8,毫米 millimeter,980,°C,16.1
214,云溪村志,1887,没有相关数据 No Available Data,n/a,°C,16.5
215,龙街村志,1800,毫米 millimeter,1000,°C,14.1
216,金陵村志,673,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
217,瓦窑村志,496,毫米 millimeter,880,°C,20
218,九星村志,n/a,毫米 millimeter,1095.5,°C,15.36
219,金凤村志,2300,毫米 millimeter,1000,°C,10.7
220,董棕河村,1209,没有相关数据 No Available Data,n/a,°C,18
221,南胜村志,4.5,毫米 millimeter,1238,°C,16.3
222,唐家岭村志,n/a,毫米 millimeter,600,°C,11.3
223,水闸口村志,1774.3,毫米 millimeter,829.7,°C,15.7
224,柏崖厂村志,92,没有相关数据 No Available Data,n/a,°C,11.7
226,大理经济开发区,1974,毫米 millimeter,1079,°C,15
227,后辛庄村志,n/a,毫米 millimeter,556.4,°C,11.6
228,环东村志,n/a,没有相关数据 No Available Data,n/a,°C,15.5
229,上马坊村志,1951,毫米 millimeter,800,°C,14.4
230,果园村志,n/a,毫米 millimeter,1000,°C,15
231,众安村志,4.3,毫米 millimeter,1000,°C,15
232,马连道村志,40,毫米 millimeter,586.7,°C,11.7
233,棠东村志,n/a,毫米 millimeter,1700,°C,21
234,小坑村志,n/a,毫米 millimeter,1600,°C,21.9
235,勐廷村志,n/a,毫米 millimeter,1253.1,°C,14.9
236,榆林村志,35,毫米 millimeter,610,°C,11.5
238,界龙村志,n/a,毫米 millimeter,1239.1,°C,15.98
239,北山村志,n/a,毫米 millimeter,803.6,没有相关数据 No Available Data,n/a
243,南韩继村志,49.8,没有相关数据 No Available Data,600,没有相关数据 No Available Data,n/a
244,盐行村志,n/a,毫米 millimeter,1148,°C,16
245,上园村志,n/a,没有相关数据 No Available Data,n/a,°C,17.7
248,东夏园村志,20.3,毫米 millimeter,569.4,°C,11.6
249,北桥村志,n/a,没有相关数据 No Available Data,n/a,°C,15.5
251,双河村志,2300,毫米 millimeter,1168,°C,10.3
252,金鸡台村志,n/a,毫米 millimeter,472.9,°C,10
253,崧泽村志,n/a,毫米 millimeter,1044,没有相关数据 No Available Data,n/a
254,亭东村志,n/a,毫米 millimeter,1092.8,°C,15.5
256,黄山店村志,151,毫米 millimeter,400,°C,9
257,华一村志,n/a,没有相关数据 No Available Data,n/a,°C,15.5
258,罗衙村志,1894,毫米 millimeter,1170,°C,21
259,江头河村志,2400,没有相关数据 No Available Data,n/a,°C,10.4
261,寒王村志,1240,毫米 millimeter,590,°C,6.2
262,新维村志,n/a,没有相关数据 No Available Data,n/a,°C,22.3
263,东张口村志,31,毫米 millimeter,488.2,°C,12.5
264,长安村志,n/a,毫米 millimeter,1600,没有相关数据 No Available Data,n/a
265,磁山村志,n/a,毫米 millimeter,590,°C,12.8
267,晨钟村志,389.3,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
268,北陈村志,n/a,毫米 millimeter,620.2,°C,14.2
270,洞源村志,n/a,毫米 millimeter,1500,°C,15
271,东街村志,n/a,毫米 millimeter,553,°C,11.4
272,芙蓉村志,n/a,毫米 millimeter,1650,°C,13
274,怀德村志,n/a,毫米 millimeter,1700,°C,22
275,高家村志,n/a,毫米 millimeter,582.8,没有相关数据 No Available Data,n/a
276,大潘家村志,n/a,毫米 millimeter,558.24,°C,11.1
277,东大寨村志,n/a,没有相关数据 No Available Data,n/a,°C,11.5
278,国际村志,n/a,毫米 millimeter,1250,°C,18.5
279,黑石头村志,n/a,毫米 millimeter,430,°C,7.2
280,北寨张村志,57,毫米 millimeter,580.3,°C,13.4
281,碑登村志,492,毫米 millimeter,870.4,°C,6
283,固新村志,n/a,毫米 millimeter,571.9,没有相关数据 No Available Data,10
286,大井村志,n/a,没有相关数据 No Available Data,n/a,°C,11.7
287,东方村志,n/a,毫米 millimeter,1156.7,°C,15.7
289,百胜村志,n/a,毫米 millimeter,1026,°C,19
291,官曲村志,n/a,毫米 millimeter,600,°C,11.8
292,凡村村志,n/a,没有相关数据 No Available Data,n/a,°C,13.5
293,碟子沟村志,n/a,毫米 millimeter,560.4,°C,8.8
294,北沙坡村志,n/a,毫米 millimeter,550,°C,13.3
297,册井村志,350,毫米 millimeter,530,没有相关数据 No Available Data,n/a
299,衙门村志,n/a,没有相关数据 No Available Data,n/a,°C,7
300,斗门村志,49,毫米 millimeter,520,°C,13.2
302,南关村志,n/a,毫米 millimeter,674,°C,12
303,陈屯村志,n/a,毫米 millimeter,623.6,°C,8.3
304,东岐村志,n/a,毫米 millimeter,1600,°C,20
305,港西村志,n/a,毫米 millimeter,900,°C,14
306,大英村志,458,毫米 millimeter,1608,°C,16
307,方家岙村志,n/a,毫米 millimeter,1433.6,°C,14.2
309,开弦弓村志,n/a,毫米 millimeter,1156.4,°C,15.7
310,李家桑园村志,n/a,毫米 millimeter,800,°C,13
313,刘集村志,n/a,毫米 millimeter,571.3,°C,13
314,凌塘村志,n/a,没有相关数据 No Available Data,n/a,°C,20.5
315,花沟王村志,n/a,毫米 millimeter,649.9,°C,14.2
316,黄岗村志,n/a,毫米 millimeter,665.6,°C,14.2
317,八岔赫哲族村志,45,毫米 millimeter,500,°C,1.4
319,花园关村志,1192,毫米 millimeter,825,°C,14.3
321,巨口铺村志,n/a,毫米 millimeter,1200,°C,16
322,后楼村志,220,没有相关数据 No Available Data,n/a,°C,20
323,荒里村志,n/a,毫米 millimeter,874.5,°C,14
325,河西村志,600,没有相关数据 No Available Data,n/a,°C,13.3
327,四台子村志,n/a,毫米 millimeter,860,°C,7.8
329,后三羊头村志,n/a,没有相关数据 No Available Data,n/a,°C,10.3
330,庙东村志,n/a,毫米 millimeter,385,°C,8.4
333,柳树林村村志,369,毫米 millimeter,575.2,°C,14
335,吉安城村志,n/a,毫米 millimeter,515,°C,12.6
336,常青村志续编,n/a,毫米 millimeter,512,°C,10.7
337,李巷村志,n/a,毫米 millimeter,1039.3,°C,15.2
338,麻扎村志,100,毫米 millimeter,16.6,°C,14.4
340,建河村志,n/a,毫米 millimeter,1000,°C,14.3
341,旧尉屯村志,n/a,毫米 millimeter,450,°C,10.3
342,李家沟村志,n/a,毫米 millimeter,592.8,没有相关数据 No Available Data,n/a
343,梁官村志,750,毫米 millimeter,439,°C,10.2
344,环湖村志,n/a,毫米 millimeter,1000,没有相关数据 No Available Data,n/a
346,胡干城村志,n/a,毫米 millimeter,621.1,°C,14
347,北甸西村志,33,毫米 millimeter,600,°C,11.8
348,尖山下村志,100,毫米 millimeter,1500,°C,16
349,后蚂虹嘴村志,n/a,毫米 millimeter,650,没有相关数据 No Available Data,n/a
350,蒋家村志,n/a,毫米 millimeter,1000,°C,15
351,雷家崄村志,n/a,毫米 millimeter,450,没有相关数据 No Available Data,n/a
352,合兴村志,29,毫米 millimeter,1179.4,°C,16.6
353,西街志,763,毫米 millimeter,475.6,°C,10
354,花园岗村志,n/a,毫米 millimeter,1670,°C,17.4
355,孟石岗村志,200,没有相关数据 No Available Data,n/a,°C,13.1
356,西水头村志,430,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
357,义东沟村志,722,毫米 millimeter,545.2,°C,11.2
358,丰盈村志,n/a,毫米 millimeter,520,°C,10.7
359,新塘村志,100,毫米 millimeter,1700,°C,22
360,沙富村志,n/a,毫米 millimeter,1655.82,°C,21.9
361,黄洞村志,n/a,毫米 millimeter,1800,°C,22
363,黄村村志,n/a,毫米 millimeter,1725.7,°C,21.8
365,珠村村志,n/a,毫米 millimeter,1500,°C,21.7
366,分将池村志,n/a,毫米 millimeter,429,°C,14
367,白石厦村志,n/a,毫米 millimeter,1200,°C,15
368,油甘埔村志,n/a,毫米 millimeter,1800,°C,22
369,尚介村志,69,毫米 millimeter,429,°C,14
370,关址村志,n/a,毫米 millimeter,646.6,°C,14.5
371,南程村志,n/a,毫米 millimeter,719.2,°C,15.2
372,北洼村志,347,毫米 millimeter,380,°C,14.4
373,李袁村志,n/a,毫米 millimeter,1054,°C,15.4
374,李沟头村志,n/a,毫米 millimeter,1128.7,°C,16.4
375,三勤村志,n/a,毫米 millimeter,1000,°C,15.5
377,横山村志,n/a,没有相关数据 No Available Data,n/a,°C,13
378,马店村志,40,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
380,桥北村志,n/a,毫米 millimeter,450,°C,10
381,马家疃村志,n/a,毫米 millimeter,550,°C,12.3
382,盘石村志,n/a,毫米 millimeter,1600,°C,21.4
383,清河村志,n/a,毫米 millimeter,665.6,°C,14.2
386,乔家辿村志,n/a,毫米 millimeter,445,°C,9
387,南山村志,n/a,毫米 millimeter,1875.4,°C,24
388,龙头村志,n/a,毫米 millimeter,553,没有相关数据 No Available Data,n/a
390,秦霸岭村志,1421.9,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
391,卢家巷村志,n/a,毫米 millimeter,1000,°C,15
392,沙河岸村志,n/a,毫米 millimeter,610,没有相关数据 No Available Data,n/a
393,北皋村志,34,毫米 millimeter,626,°C,11.6
394,庆丰村志,n/a,没有相关数据 No Available Data,n/a,°C,21
396,毛俊村志,n/a,毫米 millimeter,1600,°C,20.5
397,七里铺村志,n/a,毫米 millimeter,700,°C,13.5
398,南崖村志,n/a,毫米 millimeter,500,°C,8
400,马头溪村志,n/a,毫米 millimeter,1949.5,°C,18.9
401,南东坊村志,64,毫米 millimeter,519.5,°C,13.4
402,商相村志,n/a,毫米 millimeter,1054,°C,15.4
404,漫水村志,n/a,没有相关数据 No Available Data,n/a,°C,17.2
405,南山村志,n/a,没有相关数据 No Available Data,n/a,°C,9
406,李庄村志,28,毫米 millimeter,900,°C,14
407,聂寨村志,n/a,毫米 millimeter,500,°C,14.3
408,龙门村志,378,毫米 millimeter,500.8,°C,12
409,桥塘村志,25.5,毫米 millimeter,901,°C,13
411,施厚村志,50,毫米 millimeter,1500,°C,20
412,牛头镇村志,n/a,毫米 millimeter,591.9,°C,12.4
413,三寨村志,1920,毫米 millimeter,155,°C,4
414,南坡湾村志,n/a,毫米 millimeter,420,没有相关数据 No Available Data,n/a
415,南庄村志,n/a,毫米 millimeter,498.2,°C,12.4
416,潘山村志,n/a,毫米 millimeter,1420.5,°C,16
417,罗岗村志,n/a,毫米 millimeter,1742,°C,21.6
418,平羌村志,n/a,毫米 millimeter,1050,°C,21.6
419,南五里堡村志,n/a,毫米 millimeter,415.2,°C,14.2
420,荃步村志,3.5,毫米 millimeter,1181,°C,15
421,牛宅村志,n/a,毫米 millimeter,1300,°C,19.8
422,看丹村志,40,毫米 millimeter,586.7,°C,11.7
423,奶东村志,n/a,毫米 millimeter,200,°C,13
424,新集村志,n/a,毫米 millimeter,635.1,°C,12.9
425,夏雷村志,3.8,毫米 millimeter,1124.7,°C,15.4
427,宋京村志,495,毫米 millimeter,1600,°C,18
428,兴隆村志,n/a,毫米 millimeter,114.7,没有相关数据 No Available Data,n/a
429,苏卢村志,n/a,毫米 millimeter,1300,°C,21.6
431,水师营村志,n/a,毫米 millimeter,551.2,°C,10.3
432,申家村志,638,毫米 millimeter,1350,°C,14
433,吴家村志,n/a,没有相关数据 No Available Data,n/a,°C,13.1
434,下栅村志,700,毫米 millimeter,480,°C,10.5
435,土城子村志,n/a,毫米 millimeter,592.8,°C,11.1
436,兴围村志,n/a,毫米 millimeter,1700,°C,22
437,五坝村志,1740,毫米 millimeter,155,°C,4
438,湾底村志,n/a,没有相关数据 No Available Data,n/a,°C,15.8
439,史山村志,500,毫米 millimeter,627.4,°C,11.7
441,土山寺村志,n/a,毫米 millimeter,847,°C,14
442,西沟村志,n/a,毫米 millimeter,600,°C,10.4
443,孙家湾村志,4,毫米 millimeter,573.9,°C,9
444,同心村志,n/a,毫米 millimeter,1073,°C,15.5
445,文岙村志,334.2,没有相关数据 No Available Data,n/a,°C,16.3
447,水磨湾村志,n/a,毫米 millimeter,118,没有相关数据 No Available Data,n/a
448,铜井村志,n/a,没有相关数据 No Available Data,n/a,°C,13.8
449,渭二村志,n/a,毫米 millimeter,629.9,°C,12.9
450,古城营村志,n/a,毫米 millimeter,460,°C,9
451,万丰村志,n/a,毫米 millimeter,1882,°C,22.4
452,围头村志,6,毫米 millimeter,1143.3,°C,20.3
453,王道村志,4.2,毫米 millimeter,552,°C,12.3
456,唐林村志,n/a,毫米 millimeter,1025.6,°C,25
457,太各庄村志,16,毫米 millimeter,400,°C,12.5
458,鹿窝村志,800,毫米 millimeter,950,°C,15
459,孙家小庄村志,n/a,毫米 millimeter,650,°C,13
460,大营村志,369,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
462,棠下村志,n/a,毫米 millimeter,1725,°C,21.7
463,小溪村志,n/a,毫米 millimeter,1466.5,°C,17.8
464,沈岙村志,n/a,毫米 millimeter,1700,°C,18
465,象塘村志,n/a,毫米 millimeter,1362,°C,17
468,树掌村志,1305,毫米 millimeter,580,°C,8.8
470,友爱村志,76.7,毫米 millimeter,1310,°C,21.6
471,义安村志,744.5,毫米 millimeter,460,°C,9.8
474,徐马村志,1790,毫米 millimeter,460,°C,6.7
476,园中村志,n/a,毫米 millimeter,1392.5,°C,18.6
477,鱼山村志,82.1,毫米 millimeter,633.7,°C,13.4
478,羊家冲村志,150,毫米 millimeter,1200,°C,14.6
479,营城子村志,n/a,毫米 millimeter,713.6,°C,8.8
481,玉岩村志,395,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
483,雄龙村志,800,毫米 millimeter,1423.2,°C,15.9
482,新建村志,n/a,毫米 millimeter,1464,°C,16
484,薛家会村志,600,毫米 millimeter,400,°C,10
485,浔龙村志,n/a,没有相关数据 No Available Data,n/a,°C,16.8
486,西跃村志,n/a,毫米 millimeter,623.6,°C,8.3
488,西中黄村志,600,毫米 millimeter,488.3,°C,12.7
489,杲村村志,n/a,毫米 millimeter,646,°C,14.2
490,洋埭村志,n/a,毫米 millimeter,1200,°C,26.6
491,小将村志,236,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a
492,油坊村志,n/a,毫米 millimeter,800,°C,7
493,友好村志,1563,毫米 millimeter,114.7,没有相关数据 No Available Data,n/a
494,枣牌刘村志,n/a,毫米 millimeter,527.1,°C,12.4
496,龙塘村志,n/a,没有相关数据 No Available Data,n/a,°C,21.8
497,新中村志,n/a,毫米 millimeter,500,°C,15.5
498,枣烟村志,922,毫米 millimeter,550,°C,3
499,走马塘村志,n/a,没有相关数据 No Available Data,n/a,°C,16.2
501,元峰村志,n/a,毫米 millimeter,1332,°C,19.5
502,窑坡村志,n/a,毫米 millimeter,538.2,°C,13.2
503,张家井村,n/a,毫米 millimeter,577.4,没有相关数据 No Available Data,n/a
504,南关村志,n/a,毫米 millimeter,550,°C,12.5
505,新塘下村志,n/a,没有相关数据 No Available Data,n/a,°C,17
506,竹尾田村,n/a,毫米 millimeter,1800,°C,21.8
507,永丰村志,n/a,毫米 millimeter,1300,°C,16.2
508,寨子村志,335,毫米 millimeter,500,°C,13.5
509,新堰村志,n/a,毫米 millimeter,888,°C,14.6
510,南岗村志,n/a,毫米 millimeter,562,°C,15
511,西解甲庄村志,n/a,毫米 millimeter,736.6,没有相关数据 No Available Data,n/a
512,薛肇村志,n/a,没有相关数据 No Available Data,n/a,°C,14.3
