gazetteerId,villageInnerId,categoryId,unitId,data
1,1,3,1,14.0
3,3,3,1,15.0
4,4,3,1,21.6
5,5,3,1,12.2
6,6,3,1,12.7
7,7,3,1,11.5
8,8,3,1,15.7
9,9,3,1,13.0
10,10,3,1,NULL
11,11,3,1,22.0
12,12,3,1,NULL
13,13,3,1,13.7
14,14,3,1,12.0
16,16,3,1,22.4
17,17,3,1,11.4
18,18,3,1,11.6
19,19,3,1,NULL
20,20,3,1,NULL
21,21,3,1,NULL
22,22,3,1,13.2
23,23,3,1,19.3
24,24,3,1,22.0
26,26,3,1,21.8
29,29,3,1,NULL
30,30,3,1,14.0
31,31,3,1,13.2
32,32,3,1,15.5
34,34,3,1,5.7
35,35,3,1,21.0
36,36,3,1,15.5
37,37,3,1,13.45
40,40,3,1,16.7
41,41,3,1,23.5
42,42,3,1,16.0
44,44,3,1,13.7
45,45,3,1,NULL
47,47,3,1,16.18
48,48,3,1,11.8
49,49,3,1,16.4
52,52,3,1,10.25
53,53,3,1,15.9
54,54,3,1,13.5
56,56,3,1,13.5
58,58,3,1,10.0
59,59,3,1,15.6
61,61,3,1,12.0
62,62,3,1,NULL
63,63,3,1,12.0
64,64,3,1,NULL
67,67,3,1,13.0
69,69,3,1,NULL
70,70,3,1,9.0
71,71,3,1,10.7
72,72,3,1,16.0
74,74,3,1,11.8
75,75,3,1,NULL
76,76,3,1,11.6
77,77,3,1,10.2
78,78,3,1,10.3
80,80,3,1,NULL
82,82,3,1,8.1
83,83,3,1,11.0
84,84,3,1,20.1
85,85,3,1,21.4
87,87,3,1,NULL
88,88,3,1,11.9
91,91,3,1,14.67
92,92,3,1,NULL
93,93,3,1,11.1
94,94,3,1,NULL
95,95,3,1,17.0
96,96,3,1,11.6
97,97,3,1,16.6
98,98,3,1,21.0
99,99,3,1,15.0
100,100,3,1,NULL
113,113,3,1,NULL
115,115,3,1,16.4
116,116,3,1,16.5
117,117,3,1,NULL
119,119,3,1,16.5
121,121,3,1,NULL
123,123,3,1,-0.4
124,124,3,1,5.9
125,125,3,1,16.8
126,126,3,1,23.5
127,127,3,1,5.7
128,128,3,1,16.2
129,129,3,1,7.5
130,130,3,1,NULL
134,134,3,1,5.6
135,135,3,1,6.9
136,136,3,1,25.0
137,137,3,1,15.9
138,138,3,1,NULL
139,139,3,1,15.0
140,140,3,1,17.0
141,141,3,1,7.0
142,142,3,1,8.6
144,144,3,1,16.0
145,145,3,1,15.9
146,146,3,1,22.0
148,148,3,1,6.0
149,149,3,1,NULL
150,150,3,1,14.0
151,151,3,1,12.8
152,152,3,1,NULL
153,153,3,1,18.9
154,154,3,1,15.2
156,156,3,1,NULL
157,157,3,1,18.1
158,158,3,1,17.0
159,159,3,1,13.3
160,160,3,1,NULL
161,161,3,1,16.4
162,162,3,1,16.0
164,164,3,1,1.0
166,166,3,1,12.0
169,169,3,1,NULL
170,170,3,1,NULL
171,171,3,1,16.8
172,172,3,1,7.8
173,173,3,1,17.8
174,174,3,1,18.0
176,176,3,1,6.7
177,177,3,1,20.0
178,178,3,1,12.2
180,180,3,1,3.5
185,185,3,1,23.0
186,186,3,1,15.8
187,187,3,1,14.0
189,189,3,1,11.5
190,190,3,1,10.7
191,191,3,1,22.0
193,193,3,1,22.0
195,195,3,1,15.0
196,196,3,1,9.7
197,197,3,1,NULL
198,198,3,1,9.2
199,199,3,1,15.5
200,200,3,1,NULL
201,201,3,1,15.8
203,203,3,1,11.8
204,204,3,1,15.6
205,205,3,1,17.2
206,206,3,1,15.0
207,207,3,1,16.0
208,208,3,1,15.6
209,209,3,1,20.0
210,210,3,1,15.0
211,211,3,1,NULL
212,212,3,1,16.0
213,213,3,1,16.1
214,214,3,1,16.5
215,215,3,1,14.1
216,216,3,1,NULL
217,217,3,1,20.0
218,218,3,1,15.36
219,219,3,1,10.7
220,220,3,1,18.0
221,221,3,1,16.3
222,222,3,1,11.3
223,223,3,1,15.7
224,224,3,1,11.7
226,226,3,1,15.0
227,227,3,1,11.6
228,228,3,1,15.5
229,229,3,1,14.4
230,230,3,1,15.0
231,231,3,1,15.0
232,232,3,1,11.7
233,233,3,1,21.0
234,234,3,1,21.9
235,235,3,1,14.9
236,236,3,1,11.5
238,238,3,1,15.98
239,239,3,1,NULL
243,243,3,1,NULL
244,244,3,1,16.0
245,245,3,1,17.7
248,248,3,1,11.6
249,249,3,1,15.5
251,251,3,1,10.3
252,252,3,1,10.0
253,253,3,1,NULL
254,254,3,1,15.5
256,256,3,1,9.0
257,257,3,1,15.5
258,258,3,1,21.0
259,259,3,1,10.4
261,261,3,1,6.2
262,262,3,1,22.3
263,263,3,1,12.5
264,264,3,1,NULL
265,265,3,1,12.8
267,267,3,1,NULL
268,268,3,1,14.2
270,270,3,1,15.0
271,271,3,1,11.4
272,272,3,1,13.0
274,274,3,1,22.0
275,275,3,1,NULL
276,276,3,1,11.1
277,277,3,1,11.5
278,278,3,1,18.5
279,279,3,1,7.2
280,280,3,1,13.4
281,281,3,1,6.0
283,283,3,1,10.0
286,286,3,1,11.7
287,287,3,1,15.7
289,289,3,1,19.0
291,291,3,1,11.8
292,292,3,1,13.5
293,293,3,1,8.8
294,294,3,1,13.3
297,297,3,1,NULL
299,299,3,1,7.0
300,300,3,1,13.2
302,302,3,1,12.0
303,303,3,1,8.3
304,304,3,1,20.0
305,305,3,1,14.0
306,306,3,1,16.0
307,307,3,1,14.2
309,309,3,1,15.7
310,310,3,1,13.0
313,313,3,1,13.0
314,314,3,1,20.5
315,315,3,1,14.2
316,316,3,1,14.2
317,317,3,1,1.4
319,319,3,1,14.3
321,321,3,1,16.0
322,322,3,1,20.0
323,323,3,1,14.0
325,325,3,1,13.3
327,327,3,1,7.8
329,329,3,1,10.3
330,330,3,1,8.4
333,333,3,1,14.0
335,335,3,1,12.6
336,336,3,1,10.7
337,337,3,1,15.2
338,338,3,1,14.4
340,340,3,1,14.3
341,341,3,1,10.3
342,342,3,1,NULL
343,343,3,1,10.2
344,344,3,1,NULL
346,346,3,1,14.0
347,347,3,1,11.8
348,348,3,1,16.0
349,349,3,1,NULL
350,350,3,1,15.0
351,351,3,1,NULL
352,352,3,1,16.6
353,353,3,1,10.0
354,354,3,1,17.4
355,355,3,1,13.1
356,356,3,1,NULL
357,357,3,1,11.2
358,358,3,1,10.7
359,359,3,1,22.0
360,360,3,1,21.9
361,361,3,1,22.0
363,363,3,1,21.8
365,365,3,1,21.7
366,366,3,1,14.0
367,367,3,1,15.0
368,368,3,1,22.0
369,369,3,1,14.0
370,370,3,1,14.5
371,371,3,1,15.2
372,372,3,1,14.4
373,373,3,1,15.4
374,374,3,1,16.4
375,375,3,1,15.5
377,377,3,1,13.0
378,378,3,1,NULL
380,380,3,1,10.0
381,381,3,1,12.3
382,382,3,1,21.4
383,383,3,1,14.2
386,386,3,1,9.0
387,387,3,1,24.0
388,388,3,1,NULL
390,390,3,1,NULL
391,391,3,1,15.0
392,392,3,1,NULL
393,393,3,1,11.6
394,394,3,1,21.0
396,396,3,1,20.5
397,397,3,1,13.5
398,398,3,1,8.0
400,400,3,1,18.9
401,401,3,1,13.4
402,402,3,1,15.4
404,404,3,1,17.2
405,405,3,1,9.0
406,406,3,1,14.0
407,407,3,1,14.3
408,408,3,1,12.0
409,409,3,1,13.0
411,411,3,1,20.0
412,412,3,1,12.4
413,413,3,1,4.0
414,414,3,1,NULL
415,415,3,1,12.4
416,416,3,1,16.0
417,417,3,1,21.6
418,418,3,1,21.6
419,419,3,1,14.2
420,420,3,1,15.0
421,421,3,1,19.8
422,422,3,1,11.7
423,423,3,1,13.0
424,424,3,1,12.9
425,425,3,1,15.4
427,427,3,1,18.0
428,428,3,1,NULL
429,429,3,1,21.6
431,431,3,1,10.3
432,432,3,1,14.0
433,433,3,1,13.1
434,434,3,1,10.5
435,435,3,1,11.1
436,436,3,1,22.0
437,437,3,1,4.0
438,438,3,1,15.8
439,439,3,1,11.7
441,441,3,1,14.0
442,442,3,1,10.4
443,443,3,1,9.0
444,444,3,1,15.5
445,445,3,1,16.3
447,447,3,1,NULL
448,448,3,1,13.8
449,449,3,1,12.9
450,450,3,1,9.0
451,451,3,1,22.4
452,452,3,1,20.3
453,453,3,1,12.3
456,456,3,1,25.0
457,457,3,1,12.5
458,458,3,1,15.0
459,459,3,1,13.0
460,460,3,1,NULL
462,462,3,1,21.7
463,463,3,1,17.8
464,464,3,1,18.0
465,465,3,1,17.0
468,468,3,1,8.8
470,470,3,1,21.6
471,471,3,1,9.8
474,474,3,1,6.7
476,476,3,1,18.6
477,477,3,1,13.4
478,478,3,1,14.6
479,479,3,1,8.8
481,481,3,1,NULL
483,483,3,1,15.9
482,482,3,1,16.0
484,484,3,1,10.0
485,485,3,1,16.8
486,486,3,1,8.3
488,488,3,1,12.7
489,489,3,1,14.2
490,490,3,1,26.6
491,491,3,1,NULL
492,492,3,1,7.0
493,493,3,1,NULL
494,494,3,1,12.4
496,496,3,1,21.8
497,497,3,1,15.5
498,498,3,1,3.0
499,499,3,1,16.2
501,501,3,1,19.5
502,502,3,1,13.2
503,503,3,1,NULL
504,504,3,1,12.5
505,505,3,1,17.0
506,506,3,1,21.8
507,507,3,1,16.2
508,508,3,1,13.5
509,509,3,1,14.6
510,510,3,1,15.0
511,511,3,1,NULL
512,512,3,1,14.3
513,513,3,1,17.0
514,514,3,1,12.4
516,516,3,1,15.0
517,517,3,1,14.2
519,519,3,1,13.2
520,520,3,1,10.25
521,521,3,1,21.0
522,522,3,1,14.2
523,523,3,1,-2.0
524,524,3,1,17.0
525,525,3,1,3.4
526,526,3,1,18.2
527,527,3,1,18.0
528,528,3,1,NULL
529,529,3,1,14.2
530,530,3,1,19.5
531,531,3,1,17.0
532,532,3,1,16.0
533,533,3,1,16.1
534,534,3,1,14.8
535,535,3,1,14.0
536,536,3,1,12.0
538,538,3,1,15.0
540,540,3,1,17.2
541,541,3,1,16.1
542,542,3,1,17.0
544,544,3,1,16.0
545,545,3,1,NULL
546,546,3,1,11.6
547,547,3,1,16.0
548,548,3,1,NULL
549,549,3,1,NULL
550,550,3,1,16.4
552,552,3,1,16.0
553,553,3,1,22.0
554,554,3,1,14.4
555,555,3,1,17.0
557,557,3,1,17.45
558,558,3,1,16.7
559,559,3,1,16.8
560,560,3,1,14.7
561,561,3,1,NULL
562,562,3,1,16.3
564,564,3,1,17.0
565,565,3,1,11.6
566,566,3,1,7.6
567,567,3,1,16.9
568,568,3,1,23.7
569,569,3,1,16.4
570,570,3,1,16.8
571,571,3,1,15.1
572,572,3,1,15.8
573,573,3,1,18.0
574,574,3,1,16.0
575,575,3,1,NULL
576,576,3,1,NULL
577,577,3,1,16.5
578,578,3,1,17.0
580,580,3,1,12.0
581,581,3,1,16.0
582,582,3,1,13.0
584,584,3,1,19.0
585,585,3,1,20.0
586,586,3,1,16.3
587,587,3,1,17.4
588,588,3,1,18.1
589,589,3,1,17.1
590,590,3,1,17.2
591,591,3,1,15.45
592,592,3,1,NULL
593,593,3,1,14.0
594,594,3,1,12.3
595,595,3,1,15.0
596,596,3,1,NULL
597,597,3,1,17.1
598,598,3,1,17.2
599,599,3,1,17.0
600,600,3,1,17.0
601,601,3,1,16.3
602,602,3,1,16.0
604,604,3,1,16.6
605,605,3,1,NULL
606,606,3,1,NULL
607,607,3,1,10.0
608,608,3,1,10.0
609,609,3,1,15.5
611,611,3,1,15.5
612,612,3,1,14.5
613,613,3,1,15.1
614,614,3,1,NULL
615,615,3,1,7.0
616,616,3,1,7.5
617,617,3,1,9.0
618,618,3,1,14.4
620,620,3,1,16.0
621,621,3,1,15.8
624,624,3,1,9.0
625,625,3,1,NULL
626,626,3,1,17.8
627,627,3,1,NULL
630,630,3,1,NULL
631,631,3,1,NULL
633,633,3,1,NULL
635,635,3,1,13.5
636,636,3,1,17.0
637,637,3,1,13.3
639,639,3,1,10.0
640,640,3,1,NULL
641,641,3,1,15.5
642,642,3,1,20.0
643,643,3,1,12.98
644,644,3,1,16.1
645,645,3,1,14.7
646,646,3,1,12.6
647,647,3,1,15.0
648,648,3,1,14.5
650,650,3,1,16.5
651,651,3,1,NULL
652,652,3,1,22.0
653,653,3,1,17.5
654,654,3,1,14.5
655,655,3,1,16.0
656,656,3,1,11.5
658,658,3,1,16.5
659,659,3,1,18.2
660,660,3,1,14.7
663,663,3,1,12.9
664,664,3,1,NULL
666,666,3,1,16.7
667,667,3,1,6.7
668,668,3,1,13.3
671,671,3,1,7.0
672,672,3,1,NULL
674,674,3,1,16.1
675,675,3,1,19.1
676,676,3,1,NULL
677,677,3,1,13.4
678,678,3,1,13.4
682,682,3,1,NULL
683,683,3,1,NULL
684,684,3,1,13.0
685,685,3,1,14.2
686,686,3,1,14.4
687,687,3,1,8.6
688,688,3,1,NULL
690,690,3,1,10.3
691,691,3,1,11.5
692,692,3,1,6.6
693,693,3,1,12.8
694,694,3,1,13.2
695,695,3,1,11.3
696,696,3,1,11.9
697,697,3,1,NULL
698,698,3,1,NULL
699,699,3,1,14.5
700,700,3,1,15.5
701,701,3,1,18.0
702,702,3,1,12.0
703,703,3,1,15.5
704,704,3,1,14.2
705,705,3,1,NULL
706,706,3,1,13.0
707,707,3,1,15.4
708,708,3,1,15.1
709,709,3,1,16.1
710,710,3,1,16.3
711,711,3,1,13.4
712,712,3,1,11.3
713,713,3,1,11.8
714,714,3,1,19.7
715,715,3,1,11.8
716,716,3,1,20.0
718,718,3,1,NULL
719,719,3,1,NULL
720,720,3,1,9.1
722,722,3,1,16.9
723,723,3,1,13.8
724,724,3,1,13.0
725,725,3,1,11.0
726,726,3,1,NULL
728,728,3,1,13.8
729,729,3,1,15.5
731,731,3,1,9.0
732,732,3,1,18.4
733,733,3,1,15.0
734,734,3,1,20.0
735,735,3,1,15.2
736,736,3,1,11.8
738,738,3,1,10.0
741,741,3,1,13.3
743,743,3,1,NULL
746,746,3,1,20.0
747,747,3,1,NULL
748,748,3,1,16.8
749,749,3,1,15.3
750,750,3,1,18.0
751,751,3,1,13.8
752,752,3,1,NULL
753,753,3,1,16.6
754,754,3,1,14.8
755,755,3,1,16.0
756,756,3,1,12.0
757,757,3,1,11.4
758,758,3,1,9.0
759,759,3,1,NULL
760,760,3,1,NULL
764,764,3,1,15.5
765,765,3,1,16.6
766,766,3,1,15.0
768,768,3,1,17.0
770,770,3,1,21.8
772,772,3,1,16.0
773,773,3,1,NULL
774,774,3,1,NULL
775,775,3,1,12.0
776,776,3,1,NULL
777,777,3,1,12.5
778,778,3,1,9.7
780,780,3,1,9.8
781,781,3,1,13.4
782,782,3,1,12.6
783,783,3,1,11.3
784,784,3,1,21.0
785,785,3,1,11.0
786,786,3,1,20.0
787,787,3,1,19.8
789,789,3,1,19.3
790,790,3,1,15.7
791,791,3,1,16.2
792,792,3,1,10.0
793,793,3,1,11.3
794,794,3,1,NULL
796,796,3,1,9.7
798,798,3,1,22.0
799,799,3,1,11.0
800,800,3,1,22.0
801,801,3,1,15.5
802,802,3,1,NULL
803,803,3,1,13.0
804,804,3,1,NULL
809,809,3,1,9.0
810,810,3,1,13.0
811,811,3,1,12.9
812,812,3,1,15.0
813,813,3,1,14.2
814,814,3,1,14.7
815,815,3,1,15.0
816,816,3,1,14.4
818,818,3,1,15.0
819,819,3,1,13.9
820,820,3,1,16.0
822,822,3,1,13.4
823,823,3,1,15.0
824,824,3,1,12.1
825,825,3,1,20.0
826,826,3,1,13.1
827,827,3,1,15.5
828,828,3,1,12.9
829,829,3,1,22.0
831,831,3,1,15.2
832,832,3,1,14.3
835,835,3,1,13.6
839,839,3,1,17.5
840,840,3,1,22.2
842,842,3,1,NULL
843,843,3,1,15.4
844,844,3,1,22.0
846,846,3,1,8.0
847,847,3,1,10.0
849,849,3,1,NULL
852,852,3,1,13.5
853,853,3,1,NULL
854,854,3,1,21.7
856,856,3,1,11.8
859,859,3,1,12.8
862,862,3,1,12.5
863,863,3,1,15.0
864,864,3,1,6.0
865,865,3,1,8.8
866,866,3,1,13.5
868,868,3,1,17.2
869,869,3,1,8.0
870,870,3,1,9.9
871,871,3,1,NULL
873,873,3,1,16.0
875,875,3,1,14.7
876,876,3,1,12.6
878,878,3,1,15.2
879,879,3,1,15.8
881,881,3,1,16.6
883,883,3,1,NULL
884,884,3,1,10.0
885,885,3,1,NULL
886,886,3,1,15.5
887,887,3,1,16.2
888,888,3,1,10.0
889,889,3,1,14.2
890,890,3,1,13.4
893,893,3,1,16.6
895,895,3,1,NULL
897,897,3,1,15.6
899,899,3,1,16.7
900,900,3,1,16.2
901,901,3,1,15.0
902,902,3,1,10.0
903,903,3,1,22.0
904,904,3,1,NULL
905,905,3,1,12.2
907,907,3,1,4.0
908,908,3,1,20.5
909,909,3,1,12.3
910,910,3,1,14.0
911,911,3,1,NULL
913,913,3,1,11.5
914,914,3,1,13.1
915,915,3,1,12.2
916,916,3,1,17.6
918,918,3,1,NULL
920,920,3,1,15.8
921,921,3,1,22.0
922,922,3,1,16.5
923,923,3,1,13.4
924,924,3,1,13.8
925,925,3,1,13.0
926,926,3,1,NULL
927,927,3,1,16.1
929,929,3,1,NULL
930,930,3,1,NULL
931,931,3,1,12.1
934,934,3,1,13.1
935,935,3,1,11.5
936,936,3,1,15.5
938,938,3,1,21.3
939,939,3,1,13.6
940,940,3,1,13.6
941,941,3,1,15.36
942,942,3,1,11.0
943,943,3,1,10.0
944,944,3,1,7.5
945,945,3,1,10.6
946,946,3,1,15.0
947,947,3,1,NULL
949,949,3,1,13.0
950,950,3,1,13.0
951,951,3,1,11.8
952,952,3,1,9.0
953,953,3,1,21.0
954,954,3,1,13.4
955,955,3,1,22.0
956,956,3,1,9.0
958,958,3,1,8.6
959,959,3,1,21.9
960,960,3,1,21.0
961,961,3,1,12.8
962,962,3,1,21.8
964,964,3,1,9.7
965,965,3,1,15.5
966,966,3,1,9.8
967,967,3,1,13.2
968,968,3,1,11.6
972,972,3,1,10.0
974,974,3,1,16.0
975,975,3,1,NULL
976,976,3,1,14.0
977,977,3,1,13.3
978,978,3,1,11.3
979,979,3,1,NULL
980,980,3,1,NULL
981,981,3,1,12.9
982,982,3,1,11.7
983,983,3,1,16.1
984,984,3,1,NULL
986,986,3,1,NULL
987,987,3,1,15.0
988,988,3,1,14.0
989,989,3,1,NULL
990,990,3,1,12.8
991,991,3,1,16.0
993,993,3,1,19.6
994,994,3,1,17.0
996,996,3,1,17.0
997,997,3,1,14.0
998,998,3,1,12.3
999,999,3,1,16.0
1000,1000,3,1,14.2
1,1,2,2,700.0
3,3,2,2,1279.8
4,4,2,2,1310.0
5,5,2,2,529.7
6,6,2,2,NULL
7,7,2,2,543.6
8,8,2,2,2963.0
9,9,2,2,534.7
10,10,2,2,600.0
11,11,2,2,1790.0
12,12,2,2,480.0
13,13,2,2,210.7
14,14,2,2,500.0
16,16,2,2,1948.4
17,17,2,2,644.2
18,18,2,2,865.4
19,19,2,2,1171.7
20,20,2,2,569.4
21,21,2,2,650.0
22,22,2,2,710.0
23,23,2,2,1660.0
24,24,2,2,1926.7
26,26,2,2,1217.9
29,29,2,2,400.0
